City,Country,Date,Latitude,Longitude,Temperatrue,Humidity,Cloudiness,Wind Speed
Puteyets,RU,1612828631,65.1716,57.091,-13.99,89,100,5.75
Forsytheganj,BY,1612828631,52.6333,29.7333,14.47,96,100,19.44
Torbay,CA,1612828631,47.6666,-52.7314,32.0,100,90,29.93
Yellowknife,CA,1612828631,62.456,-114.3525,-27.4,68,90,17.27
Barrow,US,1612828631,71.2906,-156.7887,-31.0,84,1,11.5
Butaritari,KI,1612828632,3.0707,172.7902,82.04,83,68,20.54
Rikitea,PF,1612828632,-23.1203,-134.9692,77.88,69,18,3.44
Bluff,NZ,1612828632,-46.6,168.3333,55.76,91,100,12.48
Pevek,RU,1612828632,69.7008,170.3133,-11.02,79,98,1.5
Steamboat Springs,US,1612828632,40.485,-106.8317,37.4,32,1,6.91
Vaini,TO,1612828549,-21.2,-175.2,80.6,89,90,13.8
Krasnosel'kup,RU,1612828632,65.7,82.4667,-9.06,90,55,8.16
Hilo,US,1612828632,19.7297,-155.09,80.6,61,90,8.05
Mar del Plata,AR,1612828633,-38.0023,-57.5575,64.0,63,0,14.97
Aksha,RU,1612828633,50.2814,113.2867,6.4,90,33,3.91
Souillac,MU,1612828633,-20.5167,57.5167,77.0,88,40,3.44
Punta Arenas,CL,1612828633,-53.15,-70.9167,64.4,59,0,12.66
Kapaa,US,1612828633,22.0752,-159.319,73.4,64,90,13.8
Zhaotong,CN,1612828633,27.3167,103.7167,38.57,75,100,2.39
Mataura,NZ,1612828633,-46.1927,168.8643,54.46,96,100,5.37
Aswān,EG,1612828633,24.0934,32.907,59.83,60,0,7.92
Half Moon Bay,US,1612828395,37.4636,-122.4286,57.2,67,75,5.75
Eureka,US,1612828428,40.8021,-124.1637,51.01,75,100,1.99
Hobart,AU,1612828634,-42.8794,147.3294,61.0,44,75,12.66
Kieta,PG,1612828634,-6.2167,155.6333,84.79,76,95,9.84
Mmabatho,ZA,1612828634,-25.85,25.6333,66.2,94,18,4.61
Brownsville,US,1612828435,25.9018,-97.4975,78.8,73,40,11.5
Busselton,AU,1612828634,-33.65,115.3333,62.01,92,93,1.01
Atuona,PF,1612828635,-9.8,-139.0333,79.63,77,85,19.35
Hermanus,ZA,1612828635,-34.4187,19.2345,61.0,92,6,4.81
Port Alfred,ZA,1612828635,-33.5906,26.891,66.99,87,62,6.98
Steinbach am Taunus,DE,1612828635,50.1667,8.5667,21.2,73,40,9.22
Ucluelet,CA,1612828635,48.9329,-125.5528,43.0,45,20,4.61
Samdari,IN,1612828635,25.8167,72.5833,57.51,38,4,0.34
Saint Paul Harbor,US,1612828635,57.79,-152.4072,33.8,60,1,13.8
Puerto Quijarro,BO,1612828636,-17.7833,-57.7667,77.52,42,0,2.28
Tuatapere,NZ,1612828431,-46.1333,167.6833,54.03,93,100,9.62
Yar-Sale,RU,1612828636,66.8333,70.8333,-15.83,88,40,7.9
Flin Flon,CA,1612828636,54.7682,-101.865,-16.6,63,90,10.36
Bud,US,1612828636,39.447,-86.1758,24.01,88,99,3.11
Gävle,SE,1612828636,60.6745,17.1417,19.99,87,100,1.99
Ushuaia,AR,1612828541,-54.8,-68.3,64.4,45,0,10.36
Kikwit,CD,1612828637,-5.041,18.8162,73.62,83,84,1.81
Mayo,US,1612828637,38.8876,-76.5119,33.01,55,1,8.05
Tiksi,RU,1612828637,71.6872,128.8694,-27.36,86,95,3.91
Carnarvon,AU,1612828637,-24.8667,113.6333,75.2,100,0,13.8
Longyearbyen,SJ,1612828555,78.2186,15.6401,14.0,41,0,5.75
Rawson,AR,1612828637,-43.3002,-65.1023,63.55,59,0,22.66
Tasiilaq,GL,1612828638,65.6145,-37.6368,23.0,54,90,12.66
San Cristobal,VE,1612828638,7.7669,-72.225,69.93,78,58,0.65
Ahipara,NZ,1612828638,-35.1667,173.1667,74.61,61,100,11.79
East London,ZA,1612828618,-33.0153,27.9116,67.86,76,34,4.54
Saint-Philippe,RE,1612828638,-21.3585,55.7679,77.0,57,20,6.91
Albany,US,1612828597,42.6001,-73.9662,19.99,54,70,1.05
Thompson,CA,1612828639,55.7435,-97.8558,-14.8,70,90,11.5
Bambous Virieux,MU,1612828639,-20.3428,57.7575,77.0,88,40,3.44
Kahului,US,1612828639,20.8947,-156.47,80.6,54,40,20.71
Zhigansk,RU,1612828639,66.7697,123.3711,-26.61,81,0,7.87
Natá,PA,1612828640,8.3333,-80.5167,80.6,74,20,16.11
Lompoc,US,1612828640,34.6391,-120.4579,57.2,72,1,12.66
Kavieng,PG,1612828640,-2.5744,150.7967,84.9,72,74,8.3
Broome,US,1612828640,42.2506,-75.833,17.6,35,1,2.3
Hofn,IS,1612828640,64.2539,-15.2082,32.05,91,100,16.22
Jamestown,US,1612828640,42.097,-79.2353,21.99,63,90,9.22
Nantucket,US,1612828564,41.2835,-70.0995,23.0,68,1,6.91
Cape Town,ZA,1612828625,-33.9258,18.4232,70.0,88,0,21.85
Katsuura,JP,1612828641,35.1333,140.3,42.01,24,13,5.01
Qabaqçöl,AZ,1612828641,41.72,46.2647,48.18,58,86,2.24
Havøysund,NO,1612828641,70.9963,24.6622,21.2,86,75,11.5
Kaeo,NZ,1612828641,-35.1,173.7833,73.0,82,99,5.01
Korla,CN,1612828641,41.7597,86.1469,30.6,81,61,3.76
Kelvington,CA,1612828642,52.1667,-103.5343,-18.4,69,100,14.97
São Félix do Xingu,BR,1612828571,-6.6447,-51.995,74.91,92,100,2.33
Bambanglipuro,ID,1612828642,-7.95,110.2833,77.16,86,97,4.54
Arona,ES,1612828642,28.0996,-16.681,62.6,77,75,6.91
Teya,RU,1612828642,60.3778,92.6267,27.45,96,100,6.91
San Alberto,CO,1612828642,7.7611,-73.3922,83.86,57,74,3.15
Varlamovo,RU,1612828642,53.1897,48.4226,-13.59,86,0,7.2
Roura,GF,1612828642,4.7263,-52.3274,78.8,78,75,8.05
Havelock,US,1612828642,34.8791,-76.9013,44.01,83,63,5.01
Puerto Ayora,EC,1612828643,-0.7393,-90.3518,78.01,95,98,1.99
Qaanaaq,GL,1612828643,77.484,-69.3632,20.75,79,97,6.64
Yelan’-Koleno,RU,1612828643,51.1523,41.2306,-1.66,87,68,8.88
George Town,MY,1612828643,5.4112,100.3354,77.0,88,40,2.3
Port Elizabeth,ZA,1612828643,-33.918,25.5701,66.2,82,0,5.75
Hithadhoo,MV,1612828504,-0.6,73.0833,82.65,78,74,11.41
Tautira,PF,1612828644,-17.7333,-149.15,87.8,58,75,3.44
Ugoofaaru,MV,1612828644,5.6667,73.0,81.01,68,18,6.11
Ouahigouya,BF,1612828644,13.5828,-2.4216,77.63,18,18,10.09
Talcahuano,CL,1612828644,-36.7167,-73.1167,62.6,82,75,9.22
Bredasdorp,ZA,1612828644,-34.5322,20.0403,60.8,88,6,2.3
Rehoboth,NA,1612828644,-23.3167,17.0833,72.79,59,21,5.66
Nome,US,1612828644,64.5011,-165.4064,10.4,44,90,5.75
Georgiyevskoye,RU,1612828645,58.731,45.024,-5.35,91,99,7.36
Road Town,VG,1612828645,18.4167,-64.6167,77.0,69,20,12.66
Marsh Harbour,BS,1612828645,26.5412,-77.0636,75.31,85,8,8.9
Iset',RU,1612828645,56.9779,60.3718,-13.0,70,75,22.37
Gweru,ZW,1612828645,-19.45,29.8167,62.74,95,99,9.01
Haines Junction,CA,1612828645,60.7522,-137.5108,-4.0,50,100,4.61
Octeville,FR,1612828645,49.6261,-1.6435,33.8,80,90,11.5
Avarua,CK,1612828613,-21.2078,-159.775,86.0,70,20,8.05
Biak,ID,1612828645,-0.9131,122.8766,78.19,81,100,2.19
Juneau,US,1612828646,58.3019,-134.4197,12.2,34,75,23.02
Cidreira,BR,1612828646,-30.1811,-50.2056,73.2,76,0,12.77
Srednekolymsk,RU,1612828556,67.45,153.6833,-9.76,90,97,6.46
Bengkulu,ID,1612828646,-3.8004,102.2655,76.71,75,78,4.72
Bogo,PH,1612828646,11.0517,124.0055,76.89,88,87,14.54
Ixtapa,MX,1612828646,20.7,-105.2,75.2,64,1,11.5
Faanui,PF,1612828646,-16.4833,-151.75,81.43,76,9,13.35
Lavrentiya,RU,1612828647,65.5833,-171.0,-3.28,83,100,11.05
Leningradskiy,RU,1612828647,69.3833,178.4167,-21.37,84,82,11.01
Broken Hill,AU,1612828551,-31.95,141.4333,73.4,28,0,9.22
San Patricio,US,1612828643,28.017,-97.5169,73.4,78,90,14.97
Sheksna,RU,1612828648,59.21,38.5107,-7.06,92,67,5.61
Usinsk,RU,1612828648,65.9939,57.5281,-15.88,89,100,7.63
Isangel,VU,1612828648,-19.55,169.2667,86.0,66,20,6.67
Stonewall,CA,1612828648,50.1344,-97.3268,-11.2,58,20,14.97
Klagenfurt,AT,1612828649,46.6247,14.3053,35.01,100,75,1.14
Saint-Michel-des-Saints,CA,1612828649,46.6834,-73.9159,5.0,89,46,2.62
Puerto Ayacucho,VE,1612828649,5.6639,-67.6236,84.13,62,97,4.52
Hasaki,JP,1612828649,35.7333,140.8333,37.4,32,20,10.36
São Domingos,BR,1612828649,-13.3983,-46.3183,68.7,89,44,2.82
Hamilton,US,1612828400,39.1834,-84.5333,33.8,47,90,9.22
Hong Kong,HK,1612828472,22.2855,114.1577,64.99,75,99,4.0
Pisco,PE,1612828650,-13.7,-76.2167,73.4,78,0,20.71
Labuan,MY,1612828650,5.2767,115.2417,77.0,94,20,3.56
Beira,MZ,1612828617,-19.8436,34.8389,79.32,86,32,6.78
Turukhansk,RU,1612828650,65.8167,87.9833,-2.36,89,44,11.65
Upernavik,GL,1612828650,72.7868,-56.1549,15.48,77,0,5.61
São João da Barra,BR,1612828446,-21.6403,-41.0511,70.93,90,100,6.82
Lafia,NG,1612828464,8.4833,8.5167,78.37,18,53,2.95
Aksarka,RU,1612828651,66.5606,67.7975,-24.65,86,51,9.69
Nikolskoye,RU,1612828651,59.7035,30.7861,5.0,85,90,4.47
Bat Khela,PK,1612828651,34.6167,71.9714,52.54,41,0,5.14
New Norfolk,AU,1612828651,-42.7826,147.0587,61.0,57,57,1.99
Shatalovo,RU,1612828651,54.334,32.4465,7.54,91,100,13.02
Khatanga,RU,1612828652,71.9667,102.5,-16.58,84,37,11.9
Ribeira Grande,PT,1612828652,38.5167,-28.7,60.42,78,100,15.73
Igarka,RU,1612828652,67.4667,86.5833,-5.84,91,91,5.08
Ilulissat,GL,1612828652,69.2167,-51.1,24.8,39,0,23.02
Castro,BR,1612828558,-24.7911,-50.0119,60.8,91,35,7.61
Saint Anthony,US,1612828652,45.0205,-93.218,1.4,55,1,8.05
Paragominas,BR,1612828653,-2.9667,-47.4833,73.72,96,56,4.14
Babstovo,RU,1612828653,48.1167,132.4833,-3.39,87,54,9.48
Cherskiy,RU,1612828653,68.75,161.3,7.07,77,93,5.57
Airai,TL,1612828653,-8.9266,125.4092,65.17,100,100,3.8
Clyde River,CA,1612828653,70.4692,-68.5914,6.8,92,1,27.63
Vao,NC,1612828653,-22.6667,167.4833,77.86,79,31,6.49
Northam,GB,1612828613,51.0333,-4.2167,32.0,75,51,8.01
Sinnamary,GF,1612828591,5.3833,-52.95,77.72,79,52,14.32
Safi,MA,1612828654,32.2994,-9.2372,59.88,88,37,13.06
Ughelli,NG,1612828654,5.4899,6.0074,79.97,84,88,4.16
Rio Grande,BR,1612828654,-32.035,-52.0986,69.01,90,83,11.43
Egvekinot,RU,1612828654,66.3167,-179.1667,-8.23,84,100,10.11
Saskylakh,RU,1612828654,71.9167,114.0833,-30.19,84,16,2.26
Yangi Marg`ilon,UZ,1612828491,40.4272,71.7189,44.6,81,90,4.61
Kawanishi,JP,1612828655,34.8167,135.4167,33.8,86,20,5.75
Oranjemund,NA,1612828655,-28.55,16.4333,63.82,88,0,10.94
